Aikajakso 01.01.2016 - 31.12.2016,Sähkönkulutus mitattu kWh,Päiväsähkönkulutus (klo 07-22) mitattu kWh,Yösähkönkulutus (klo 22-07) mitattu kWh,Lämpötila °C,"Pörssisähkön hinta, sis. alv snt/kWh",
pe 01.01.2016 00:00 - 01:00,4.538,0.000,4.538,-2.20,1.97,
pe 01.01.2016 01:00 - 02:00,4.145,0.000,4.145,-2.50,2.03,
pe 01.01.2016 02:00 - 03:00,1.990,0.000,1.990,-2.80,1.99,
pe 01.01.2016 03:00 - 04:00,2.187,0.000,2.187,-3.10,1.95,
pe 01.01.2016 04:00 - 05:00,2.382,0.000,2.382,-3.90,1.93,
pe 01.01.2016 05:00 - 06:00,1.825,0.000,1.825,-5.00,1.92,
pe 01.01.2016 06:00 - 07:00,1.372,0.000,1.372,-5.60,1.95,
pe 01.01.2016 07:00 - 08:00,1.492,1.492,0.000,-6.00,1.90,
pe 01.01.2016 08:00 - 09:00,1.265,1.265,0.000,-5.60,1.91,
pe 01.01.2016 09:00 - 10:00,2.877,2.877,0.000,-6.40,1.88,
pe 01.01.2016 10:00 - 11:00,2.926,2.926,0.000,-6.40,1.91,
pe 01.01.2016 11:00 - 12:00,2.311,2.311,0.000,-6.80,1.96,
pe 01.01.2016 12:00 - 13:00,2.027,2.027,0.000,-7.00,2.00,
pe 01.01.2016 13:00 - 14:00,1.994,1.994,0.000,-7.00,2.05,
pe 01.01.2016 14:00 - 15:00,2.064,2.064,0.000,-6.90,2.07,
pe 01.01.2016 15:00 - 16:00,3.083,3.083,0.000,-7.00,2.13,
pe 01.01.2016 16:00 - 17:00,3.783,3.783,0.000,-7.00,2.23,
pe 01.01.2016 17:00 - 18:00,2.312,2.312,0.000,-8.30,2.30,
pe 01.01.2016 18:00 - 19:00,1.978,1.978,0.000,-8.80,2.37,
pe 01.01.2016 19:00 - 20:00,1.547,1.547,0.000,-8.40,2.32,
pe 01.01.2016 20:00 - 21:00,1.402,1.402,0.000,-8.60,2.22,
pe 01.01.2016 21:00 - 22:00,2.337,2.337,0.000,-9.50,2.19,
pe 01.01.2016 22:00 - 23:00,6.291,0.000,6.291,-9.30,2.39,
pe 01.01.2016 23:00 - 00:00,6.176,0.000,6.176,-10.30,2.73,
